"PokedexID","Title","CaptureRate","GrowthRate","HeightInches","WeightLbs","Types","Region","RegionID","Color","EnglishName","JapaneseName","FrenchName","Type1","Type2","SpeciesID"
"1","Bulbasaur","45","medium-slow","27.56","15.21","12;4","56","1","Green","Bulbasaur","フシギダネ","Bulbizarre","Grass","Poison","1"
"2","Ivysaur","45","medium-slow","39.37","28.66","12;4","56","1","Green","Ivysaur","フシギソウ","Herbizarre","Grass","Poison","2"
"3","Venusaur","45","medium-slow","78.74","220.46","12;4","56","1","Green","Venusaur","フシギバナ","Florizarre","Grass","Poison","3"
"4","Charmander","45","medium-slow","23.62","18.74","10","56","1","Red","Charmander","ヒトカゲ","Salamèche","Fire","","4"
"5","Charmeleon","45","medium-slow","43.31","41.89","10","56","1","Red","Charmeleon","リザード","Reptincel","Fire","","5"
"6","Charizard","45","medium-slow","66.93","199.52","10;3","56","1","Red","Charizard","リザードン","Dracaufeu","Fire","Flying","6"
"7","Squirtle","45","medium-slow","19.69","19.84","11","56","1","Blue","Squirtle","ゼニガメ","Carapuce","Water","","7"
"8","Wartortle","45","medium-slow","39.37","49.6","11","56","1","Blue","Wartortle","カメール","Carabaffe","Water","","8"
"9","Blastoise","45","medium-slow","62.99","188.5","11","56","1","Blue","Blastoise","カメックス","Tortank","Water","","9"
"10","Caterpie","255","medium","11.81","6.39","7","56","1","Green","Caterpie","キャタピー","Chenipan","Bug","","10"
"11","Metapod","120","medium","27.56","21.83","7","56","1","Green","Metapod","トランセル","Chrysacier","Bug","","11"
"12","Butterfree","45","medium","43.31","70.55","7;3","56","1","White","Butterfree","バタフリー","Papilusion","Bug","Flying","12"
"13","Weedle","255","medium","11.81","7.05","7;4","56","1","Brown","Weedle","ビードル","Aspicot","Bug","Poison","13"
"14","Kakuna","120","medium","23.62","22.05","7;4","56","1","Yellow","Kakuna","コクーン","Coconfort","Bug","Poison","14"
"15","Beedrill","45","medium","39.37","65.04","7;4","56","1","Yellow","Beedrill","スピアー","Dardargnan","Bug","Poison","15"
